platform_id,manufacturer,model,form_factor,caliber,barrel_length_in,event_id,notes
7mm_Mauser,,,rifle,7x57mm Mauser,,oh_farm,custom platform
benelli_m4,Benelli,M4,shotgun,12 Ga,18.5,oh_farm,
czusa_457,CZ-USA,457,rifle,.22 LR,,oh_farm,
hk_45,Heckler & Koch,HK45,pistol,.45 ACP,4.46,oh_farm,
hk_MR556,Heckler & Koch,MR556,pistol,5.56x45mm,11.5,oh_farm,
hk_P2000,Heckler & Koch,P2000,pistol,9x19mm,3.66,oh_farm,
hk_P30L,Heckler & Koch,P30L,pistol,9x19mm,4.45,oh_farm,
lmt_ar10,LMT Defense,AR-10 MLKMWS,rifle,7.62x51mm,16,oh_farm,
marlin_1895,Marlin,Model 1895,rifle,.45-70,,oh_farm,
marlin_gfm60,Marlin,Glenfield Model 60,rifle,.22 LR,19,oh_farm,
norinco_sks,Norinco,SKS,rifle,7.62x39mm,20.5,oh_farm,
sig_P320,Sig Sauer,P320,pistol,9x19mm,,oh_farm,
sw_mp22,Smith & Wesson,M&P 22,pistol,.22 LR,,oh_farm,
spike_m4_556,Spike's Tactical,5.56 M4 LE 16″,rifle,5.56x45mm,16,oh_farm,
springfield_87A,Springfield,Model 87A,rifle,.22 LR,24,oh_farm,
springfieldd_xd,Springfield,XD,pistol,.40 S&W,,oh_farm,
steyr_C9A2,Steyr,C9A2,pistol,9x19mm,3.6,oh_farm,
walther_ppk,Walther,PPK/S,pistol,.380 ACP,3.3,oh_farm,
winchester_1400,Winchester,Model 1400,shotgun,12 Ga,28,oh_farm,
custom_ar15_300BLK,,AR-15,rifle,.300 AAC Blackout,7.5,oh_farm,
ruger_lcp_380ACP,Ruger,LCP,pistol,.380 ACP,2.75,ny_gravel_pit,
remington_870_12ga,Remington,Model 870 Express Super Magnum,shotgun,12 Ga,,ny_gravel_pit,
stevens_770,Stevens,Model 770,shotgun,16 Ga,26.5,ny_gravel_pit,
nef_pardner_20ga,New England Firearms,Pardner,shotgun,20 Ga,22,ny_gravel_pit,
savage_223,Savage Arms,,rifle,.223 Remington,,ny_gravel_pit,
sw_mp15,Smith & Wesson,M&P15,rifle,5.56x45mm,16,ny_gravel_pit,
savage_mh110,Savage Arms,Magpul Hunter 110,rifle,6.5 Creedmoor,22,nj_farm,
sig_p365,Sig,P365-XMACRO,pistol,9x19mm,3.7,nj_farm,
