filename,uuid,label,recording_session ,timestamp,time_offset_s,device_name,device_manufacturer,device_model,microphone,firearm,caliber,latitude,longitude,gunshot_location_in_seconds,num_gunshots
880b3ce5-9c19-4c12-a813-b223bb4f2897_v1,880b3ce5-9c19-4c12-a813-b223bb4f2897,9mm,1,2021-11-15T12:46:11.907-04:00,17.61400032,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Glock 17,9mm,28.34229547,-80.78193907,[1.72269841],1
fed855d4-d9c4-42c5-a5c5-ddc5edd69e14_v0,fed855d4-d9c4-42c5-a5c5-ddc5edd69e14,9mm,1,2021-11-15T12:47:41.122-04:00,17.61400032,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Glock 17,9mm,28.34229547,-80.78193907,[1.67290249],1
369d77b1-3141-40e2-8fb5-77d57d560472_v0,369d77b1-3141-40e2-8fb5-77d57d560472,9mm,1,2021-11-15T12:50:03.647-04:00,17.63699913,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Glock 17,9mm,28.34229547,-80.78193907,[1.61977324 3.50795918 5.42746032],3
cfe036af-d99f-46a5-8829-32a66b45be70_v1,cfe036af-d99f-46a5-8829-32a66b45be70,9mm,1,2021-11-15T12:51:30.693-04:00,17.54700089,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Glock 17,9mm,28.34229547,-80.78193907,[1.75       1.98768707 2.26022676],3
b0f71933-ce93-45ae-bf09-6838af56c0ee_v0,b0f71933-ce93-45ae-bf09-6838af56c0ee,9mm,1,2021-11-15T12:52:47.686-04:00,17.57900047,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Glock 17,9mm,28.34229547,-80.78193907,[1.75       2.61845805 3.06664399],3
f4795b52-6cf1-4d72-bb79-b0764509a1c8_v0,f4795b52-6cf1-4d72-bb79-b0764509a1c8,9mm,1,2021-11-15T12:54:30.196-04:00,17.61499977,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Glock 17,9mm,28.34229547,-80.78193907,[1.50206349 1.75       1.95494331 2.15668934 2.35848073],5
820abb87-01bd-47d3-a2b8-f17cfd0bd6a7_v0,820abb87-01bd-47d3-a2b8-f17cfd0bd6a7,38cal,1,2021-11-15T12:57:52.290-04:00,17.54199982,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Smith & Wesson,.38 cal,28.34229547,-80.78193907,[1.75],1
0adeaece-8ec1-440b-ae3a-1dc93613f76f_v0,0adeaece-8ec1-440b-ae3a-1dc93613f76f,38cal,1,2021-11-15T12:58:24.340-04:00,17.55900002,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Smith & Wesson,.38 cal,28.34229547,-80.78193907,[1.75],1
a658fd9a-dabe-465f-9efb-67f0d1c3be84_v1,a658fd9a-dabe-465f-9efb-67f0d1c3be84,38cal,1,2021-11-15T12:58:48.849-04:00,17.55900002,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Smith & Wesson,.38 cal,28.34229547,-80.78193907,[1.61907029],1
28d97af9-0450-4dc5-a40a-1eb40e387bf2_v0,28d97af9-0450-4dc5-a40a-1eb40e387bf2,38cal,1,2021-11-15T12:59:29.253-04:00,,Galaxy S21 5G Lemon Brownie,Samsung,SM-G991U1,Samsung Galaxy S21 Internal Mic,Smith & Wesson,.38 cal,28.34229547,-80.78193907,[1.62088435 3.31027211 5.11040816],3
