sample_id,source_group,category,class_label,filepath,duration,sample_rate,channels,peak_amplitude,rms_energy,crest_factor
gun_zoom_BoltAction22_Zoom_ZM_004A_S01_w0,zoom_BoltAction22_Zoom,gunshot,DANGEROUS_IMPULSE,data/processed\gunshot\gun_zoom_BoltAction22_Zoom_ZM_004A_S01_w0.wav,1.0,16000,1,0.19983534514904022,0.0045076039783217385,44.33284378051758
gun_zoom_BoltAction22_Zoom_ZM_004A_S02_w0,zoom_BoltAction22_Zoom,gunshot,DANGEROUS_IMPULSE,data/processed\gunshot\gun_zoom_BoltAction22_Zoom_ZM_004A_S02_w0.wav,1.0,16000,1,0.2714575231075287,0.0038843103395198885,69.88545989990234
gun_zoom_BoltAction22_Zoom_ZM_004A_S03_w0,zoom_BoltAction22_Zoom,gunshot,DANGEROUS_IMPULSE,data/processed\gunshot\gun_zoom_BoltAction22_Zoom_ZM_004A_S03_w0.wav,1.0,16000,1,0.2608662545681,0.003685501016853086,70.78157043457031
gun_zoom_BoltAction22_Zoom_ZM_004A_S04_w0,zoom_BoltAction22_Zoom,gunshot,DANGEROUS_IMPULSE,data/processed\gunshot\gun_zoom_BoltAction22_Zoom_ZM_004A_S04_w0.wav,1.0,16000,1,0.3125823140144348,0.004260767747569899,73.36273193359375
gun_zoom_BoltAction22_Zoom_ZM_004A_S05_w0,zoom_BoltAction22_Zoom,gunshot,DANGEROUS_IMPULSE,data/processed\gunshot\gun_zoom_BoltAction22_Zoom_ZM_004A_S05_w0.wav,1.0,16000,1,0.24918386340141296,0.005415188165577721,46.015647888183594
gun_zoom_BoltAction22_Zoom_ZM_004A_S06_w0,zoom_BoltAction22_Zoom,gunshot,DANGEROUS_IMPULSE,data/processed\gunshot\gun_zoom_BoltAction22_Zoom_ZM_004A_S06_w0.wav,1.0,16000,1,0.2388531118631363,0.0037398306399011615,63.867191314697266
gun_zoom_BoltAction22_Zoom_ZM_004B_S01_w0,zoom_BoltAction22_Zoom,gunshot,DANGEROUS_IMPULSE,data/processed\gunshot\gun_zoom_BoltAction22_Zoom_ZM_004B_S01_w0.wav,1.0,16000,1,0.025392785668373108,0.000599670076491479,42.34388732910156
gun_zoom_BoltAction22_Zoom_ZM_004B_S03_w0,zoom_BoltAction22_Zoom,gunshot,DANGEROUS_IMPULSE,data/processed\gunshot\gun_zoom_BoltAction22_Zoom_ZM_004B_S03_w0.wav,1.0,16000,1,0.024114327505230904,0.0013713707760800533,17.58397674560547
gun_zoom_BoltAction22_Zoom_ZM_004B_S04_w0,zoom_BoltAction22_Zoom,gunshot,DANGEROUS_IMPULSE,data/processed\gunshot\gun_zoom_BoltAction22_Zoom_ZM_004B_S04_w0.wav,1.0,16000,1,0.06506255269050598,0.0009658614721746687,67.36149597167969
gun_zoom_BoltAction22_Zoom_ZM_004B_S05_w0,zoom_BoltAction22_Zoom,gunshot,DANGEROUS_IMPULSE,data/processed\gunshot\gun_zoom_BoltAction22_Zoom_ZM_004B_S05_w0.wav,1.0,16000,1,0.06143758073449135,0.000919364361571185,66.82542419433594
gun_zoom_BoltAction22_Zoom_ZM_004B_S06_w0,zoom_BoltAction22_Zoom,gunshot,DANGEROUS_IMPULSE,data/processed\gunshot\gun_zoom_BoltAction22_Zoom_ZM_004B_S06_w0.wav,1.0,16000,1,0.05439947918057442,0.0007332518728142164,74.18833923339844
gun_zoom_BoltAction22_Zoom_ZM_044A_S01_w0,zoom_BoltAction22_Zoom,gunshot,DANGEROUS_IMPULSE,data/processed\gunshot\gun_zoom_BoltAction22_Zoom_ZM_044A_S01_w0.wav,1.0,16000,1,0.023879513144493103,0.002980615514904951,8.011577606201172
gun_zoom_BoltAction22_Zoom_ZM_044A_S03_w0,zoom_BoltAction22_Zoom,gunshot,DANGEROUS_IMPULSE,data/processed\gunshot\gun_zoom_BoltAction22_Zoom_ZM_044A_S03_w0.wav,1.0,16000,1,0.02322736196219921,0.0006120915867580299,37.94690704345703
gun_zoom_BoltAction22_Zoom_ZM_044A_S06_w0,zoom_BoltAction22_Zoom,gunshot,DANGEROUS_IMPULSE,data/processed\gunshot\gun_zoom_BoltAction22_Zoom_ZM_044A_S06_w0.wav,1.0,16000,1,0.023112084716558456,0.00038905757458434305,59.40378189086914
gun_zoom_BoltAction22_Zoom_ZM_044B_S01_w0,zoom_BoltAction22_Zoom,gunshot,DANGEROUS_IMPULSE,data/processed\gunshot\gun_zoom_BoltAction22_Zoom_ZM_044B_S01_w0.wav,1.0,16000,1,0.0408567413687706,0.0015702474235106485,26.019134521484375
gun_zoom_BoltAction22_Zoom_ZM_044B_S02_w0,zoom_BoltAction22_Zoom,gunshot,DANGEROUS_IMPULSE,data/processed\gunshot\gun_zoom_BoltAction22_Zoom_ZM_044B_S02_w0.wav,1.0,16000,1,0.02165377512574196,0.0006082701630291378,35.598358154296875
gun_zoom_BoltAction22_Zoom_ZM_044B_S05_w0,zoom_BoltAction22_Zoom,gunshot,DANGEROUS_IMPULSE,data/processed\gunshot\gun_zoom_BoltAction22_Zoom_ZM_044B_S05_w0.wav,1.0,16000,1,0.02005501464009285,0.0005247130908757937,38.22018814086914
gun_zoom_BoltAction22_Zoom_ZM_044B_S06_w0,zoom_BoltAction22_Zoom,gunshot,DANGEROUS_IMPULSE,data/processed\gunshot\gun_zoom_BoltAction22_Zoom_ZM_044B_S06_w0.wav,1.0,16000,1,0.02154727280139923,0.00027246822424479916,79.07888793945312
gun_zoom_BoltAction22_Zoom_ZM_064B_S01_w0,zoom_BoltAction22_Zoom,gunshot,DANGEROUS_IMPULSE,data/processed\gunshot\gun_zoom_BoltAction22_Zoom_ZM_064B_S01_w0.wav,1.0,16000,1,0.02144380286335945,0.0004900525559253345,43.75727462768555
gun_zoom_BoltAction22_Zoom_ZM_064B_S02_w0,zoom_BoltAction22_Zoom,gunshot,DANGEROUS_IMPULSE,data/processed\gunshot\gun_zoom_BoltAction22_Zoom_ZM_064B_S02_w0.wav,1.0,16000,1,0.0256030410528183,0.0006467993516873845,39.58359909057617
gun_zoom_BoltAction22_Zoom_ZM_084A_S01_w0,zoom_BoltAction22_Zoom,gunshot,DANGEROUS_IMPULSE,data/processed\gunshot\gun_zoom_BoltAction22_Zoom_ZM_084A_S01_w0.wav,1.0,16000,1,0.025100264698266983,0.0018742157141691882,13.392338752746582
gun_zoom_BoltAction22_Zoom_ZM_084A_S03_w0,zoom_BoltAction22_Zoom,gunshot,DANGEROUS_IMPULSE,data/processed\gunshot\gun_zoom_BoltAction22_Zoom_ZM_084A_S03_w0.wav,1.0,16000,1,0.026858434081077576,0.004920963538707857,5.457951545715332
