sample_id,source_group,category,class_label,filepath,duration,sample_rate,channels,peak_amplitude,rms_energy,crest_factor,label_idx
bg_bg_session_01_0040,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0040.wav,1.0,16000,1,0.3392889685796717,0.0663015903225859,5.117357151695954,2
bg_bg_session_01_0041,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0041.wav,1.0,16000,1,0.280701988462846,0.0502490213650064,5.586216904836251,2
bg_bg_session_01_0042,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0042.wav,1.0,16000,1,0.4370607153011159,0.0716737211830276,6.097920508491847,2
bg_bg_session_01_0043,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0043.wav,1.0,16000,1,0.2490490193803759,0.0454277416458039,5.482310049640765,2
bg_bg_session_01_0044,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0044.wav,1.0,16000,1,0.3561146851777061,0.0608133681596052,5.85586092986119,2
bg_bg_session_01_0045,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0045.wav,1.0,16000,1,0.2453798476576226,0.0475155008018832,5.164205193557489,2
bg_bg_session_01_0046,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0046.wav,1.0,16000,1,0.3146091626685978,0.0583049769155128,5.395922018205477,2
bg_bg_session_01_0047,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0047.wav,1.0,16000,1,0.3943872072959005,0.0838962577484281,4.700890967861794,2
bg_bg_session_01_0048,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0048.wav,1.0,16000,1,0.2015349479023671,0.0434459045990088,4.638754869415617,2
bg_bg_session_01_0049,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0049.wav,1.0,16000,1,0.296952069528186,0.0615840115528033,4.82190123413057,2
bg_bg_session_01_0050,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0050.wav,1.0,16000,1,0.3115208086250322,0.0658371480797366,4.7316867512377,2
bg_bg_session_01_0051,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0051.wav,1.0,16000,1,0.2225660855746193,0.0418801212582453,5.314359790379134,2
bg_bg_session_01_0052,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0052.wav,1.0,16000,1,0.3595860059273112,0.0658609088124401,5.459778156927123,2
bg_bg_session_01_0053,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0053.wav,1.0,16000,1,0.226487501952607,0.0593909319287511,3.813502439889143,2
bg_bg_session_01_0054,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0054.wav,1.0,16000,1,0.2816230613362431,0.0568718362831042,4.951888847327767,2
bg_bg_session_01_0055,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0055.wav,1.0,16000,1,0.3108070466901278,0.0558468017127792,5.565349876884859,2
bg_bg_session_01_0056,bg_session_01,background,BACKGROUND_NOISE,data/processed\background\bg_bg_session_01_0056.wav,1.0,16000,1,0.3695159971200533,0.0604666592993313,6.111069146058282,2
