file_id,speech_file,noise_file,noise_type,snr_db,sample_rate,duration,split
mix_000000,datasets/speech\speech_speaker_session_20_0803.wav,datasets/background_noise\bg_bg_session_21_0841.wav,background_noise,15,16000,1.0,train
mix_000001,datasets/speech\speech_speaker_session_10_0406.wav,datasets/gunshot\gun_C3GD-Dataset_0-oh_farm-springfield_87A-BOB-nT21wqwhXL6h-1_w0.wav,gunshot,20,16000,1.0,train
mix_000002,datasets/speech\speech_speaker_session_10_0418.wav,datasets/other_impulse\other_imp_other_imp_session_17_0705.wav,other_impulse,10,16000,1.0,train
mix_000003,datasets/speech\speech_speaker_session_19_0766.wav,datasets/gunshot\gun_BoltAction22_Zoom_ZM_044B_S04_w0.wav,gunshot,-5,16000,1.0,train
mix_000004,datasets/speech\speech_speaker_session_22_0917.wav,datasets/background_noise\bg_bg_session_12_0517.wav,background_noise,-15,16000,1.0,train
mix_000005,datasets/speech\speech_speaker_session_29_1177.wav,datasets/gunshot\gun_C3GD-Dataset_1-ny_gravel_pit-savage_223-ALICE-9beqPU8F1HSu-3_w0.wav,gunshot,-20,16000,1.0,train
mix_000006,datasets/speech\speech_ref_0640.wav,datasets/gunshot\gun_C3GD-Dataset_15-oh_farm-steyr_C9A2-DAVE-1FdS1ZWH99F1-7_w0.wav,gunshot,5,16000,1.0,train
mix_000007,datasets/speech\speech_ref_0004.wav,datasets/gunshot\gun_C3GD-Dataset_15-oh_farm-sig_P320-BOB-jo3tPbz41Lgc-8_w0.wav,gunshot,-10,16000,1.0,train
mix_000008,datasets/speech\speech_speaker_session_06_0260.wav,datasets/gunshot\gun_C3GD-Dataset_15-oh_farm-sig_P320-ALICE-xbRU1Oiy72TW-4_w0.wav,gunshot,-5,16000,1.0,train
mix_000009,datasets/speech\speech_ref_0879.wav,datasets/gunshot\gun_C3GD-Dataset_15-oh_farm-sig_P320-ALICE-iIjGOd9pRUnf-8_w0.wav,gunshot,20,16000,1.0,train
mix_000010,datasets/speech\speech_ref_0518.wav,datasets/other_impulse\other_imp_other_imp_session_10_0418.wav,other_impulse,15,16000,1.0,train
