sample_id,source_id,start_time,end_time,label,source_file,duration,sample_rate,channels
audioset_--aaILOrkII_200_210,--aaILOrkII,200.0,210.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=--aaILOrkII,10.0,16000,1
audioset_-RAdrtCW1hI_70_80,-RAdrtCW1hI,70.0,80.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=-RAdrtCW1hI,10.0,16000,1
audioset_-cQV8iXK3pQ_0_10,-cQV8iXK3pQ,0.0,10.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=-cQV8iXK3pQ,10.0,16000,1
audioset_-cWrzrfVdMQ_250_260,-cWrzrfVdMQ,250.0,260.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=-cWrzrfVdMQ,10.0,16000,1
audioset_0HDoqcA727o_30_40,0HDoqcA727o,30.0,40.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=0HDoqcA727o,10.0,16000,1
audioset_1AlmsqlPdwM_450_460,1AlmsqlPdwM,450.0,460.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=1AlmsqlPdwM,10.0,16000,1
audioset_1uNaFYVRGjg_210_220,1uNaFYVRGjg,210.0,220.0,Machine gun,https://www.youtube.com/watch?v=1uNaFYVRGjg,10.0,16000,1
audioset_2aCeBLWVL68_0_8,2aCeBLWVL68,0.0,8.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=2aCeBLWVL68,8.0,16000,1
audioset_2jFE-MKRmPw_270_280,2jFE-MKRmPw,270.0,280.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=2jFE-MKRmPw,10.0,16000,1
audioset_3Z0Gl7RHThc_280_290,3Z0Gl7RHThc,280.0,290.0,Machine gun,https://www.youtube.com/watch?v=3Z0Gl7RHThc,10.0,16000,1
audioset_3ZUHhSbQkGw_170_180,3ZUHhSbQkGw,170.0,180.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=3ZUHhSbQkGw,10.0,16000,1
audioset_3eGOQOcKkAE_30_40,3eGOQOcKkAE,30.0,40.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=3eGOQOcKkAE,10.0,16000,1
audioset_3oF7NLTzoxc_190_200,3oF7NLTzoxc,190.0,200.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=3oF7NLTzoxc,10.0,16000,1
audioset_3udWS-cMb-8_80_90,3udWS-cMb-8,80.0,90.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=3udWS-cMb-8,10.0,16000,1
audioset_41SLp0ph65A_370_380,41SLp0ph65A,370.0,380.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=41SLp0ph65A,10.0,16000,1
audioset_49kPjptbt38_50_60,49kPjptbt38,50.0,60.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=49kPjptbt38,10.0,16000,1
audioset_4JnYkujJGRA_530_540,4JnYkujJGRA,530.0,540.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=4JnYkujJGRA,10.0,16000,1
audioset_4TQzd0lB8IQ_30_40,4TQzd0lB8IQ,30.0,40.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=4TQzd0lB8IQ,10.0,16000,1
audioset_4hwwaJQV7Go_50_60,4hwwaJQV7Go,50.0,60.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=4hwwaJQV7Go,10.0,16000,1
audioset_6j_0JxixrG8_30_40,6j_0JxixrG8,30.0,40.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=6j_0JxixrG8,10.0,16000,1
audioset_6kguB8XWB64_40_50,6kguB8XWB64,40.0,50.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=6kguB8XWB64,10.0,16000,1
audioset_7Bfg94jYDVI_260_270,7Bfg94jYDVI,260.0,270.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=7Bfg94jYDVI,10.0,16000,1
audioset_7gZqP4-Y0Cw_10_20,7gZqP4-Y0Cw,10.0,20.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=7gZqP4-Y0Cw,10.0,16000,1
audioset_7sU0jAHPJG0_18_28,7sU0jAHPJG0,18.0,28.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=7sU0jAHPJG0,10.0,16000,1
audioset_89hj7G1AWYY_30_40,89hj7G1AWYY,30.0,40.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=89hj7G1AWYY,10.0,16000,1
audioset_8D4L97zM7x4_60_70,8D4L97zM7x4,60.0,70.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=8D4L97zM7x4,10.0,16000,1
audioset_8PgDC2GUx9k_20_30,8PgDC2GUx9k,20.0,30.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=8PgDC2GUx9k,10.0,16000,1
audioset_9MVCwolWlLE_6_16,9MVCwolWlLE,6.0,16.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=9MVCwolWlLE,10.0,16000,1
audioset_9dzNWsw-W58_270_280,9dzNWsw-W58,270.0,280.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=9dzNWsw-W58,10.0,16000,1
audioset_9iyQiuuF_CE_10_20,9iyQiuuF_CE,10.0,20.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=9iyQiuuF_CE,10.0,16000,1
audioset_9ww0jrYLgZ8_30_40,9ww0jrYLgZ8,30.0,40.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=9ww0jrYLgZ8,10.0,16000,1
audioset_Ab51oVS98Qo_60_70,Ab51oVS98Qo,60.0,70.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=Ab51oVS98Qo,10.0,16000,1
audioset_AgLm7rSg5JA_90_100,AgLm7rSg5JA,90.0,100.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=AgLm7rSg5JA,10.0,16000,1
audioset_Au5NjQaR_T0_340_350,Au5NjQaR_T0,340.0,350.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=Au5NjQaR_T0,10.0,16000,1
audioset_BQWXKuFYuro_160_170,BQWXKuFYuro,160.0,170.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=BQWXKuFYuro,10.0,16000,1
audioset_BSPjTGVP1I4_30_40,BSPjTGVP1I4,30.0,40.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=BSPjTGVP1I4,10.0,16000,1
audioset_BtN6AvD1FyA_150_160,BtN6AvD1FyA,150.0,160.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=BtN6AvD1FyA,10.0,16000,1
audioset_CCHRD-G9sfA_90_100,CCHRD-G9sfA,90.0,100.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=CCHRD-G9sfA,10.0,16000,1
audioset_CNURVtAOhRE_30_40,CNURVtAOhRE,30.0,40.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=CNURVtAOhRE,10.0,16000,1
audioset_COe52lCaNPk_30_40,COe52lCaNPk,30.0,40.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=COe52lCaNPk,10.0,16000,1
audioset_CelxGPZvoyw_240_250,CelxGPZvoyw,240.0,250.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=CelxGPZvoyw,10.0,16000,1
audioset_CoKZ3cdGDBs_90_100,CoKZ3cdGDBs,90.0,100.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=CoKZ3cdGDBs,10.0,16000,1
audioset_DUvF0NeTxPs_30_40,DUvF0NeTxPs,30.0,40.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=DUvF0NeTxPs,10.0,16000,1
audioset_DoRebW9poXU_30_40,DoRebW9poXU,30.0,40.0,"Gunshot, gunfire",https://www.youtube.com/watch?v=DoRebW9poXU,10.0,16000,1
